ranks,threads,total,compute,communicate
16,4,4.323383,4.131708,0.191256
32,4,8.421356,8.138813,0.282106
64,4,16.613418,16.151615,0.461345
128,4,33.052535,32.153025,0.899031
256,4,65.928552,64.205514,1.722378
512,4,131.765528,128.240323,3.524770
1024,4,264.445901,256.152675,8.289630
2048,4,530.212905,512.131076,18.075616
